g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29
5.8,12.2,9.7,23.4,4.3,18.4,26.3,43.0,39.7,24.8,13.9,13.5,12.2,9.8,29.0,28.8,31.6,26.1,62.5,21.7,18.7,26.4,46.1,40.5,31.9,36.2,14.4,30.4,10.7,21.6
6.7,12.8,10.4,28.9,12.6,45.6,27.1,70.5,52.7,40.4,14.8,20.6,29.5,48.8,33.8,63.2,35.4,30.8,70.7,24.3,29.8,37.4,51.2,55.1,32.7,49.6,32.1,42.3,28.7,26.0
7.8,13.0,19.3,34.0,40.2,46.8,57.3,75.8,53.3,71.9,26.9,25.4,30.8,62.8,51.8,85.7,47.3,57.8,116.1,34.4,36.9,48.4,66.2,82.0,108.2,72.0,59.3,115.8,30.0,38.0
9.2,18.9,19.6,39.3,65.7,141.1,62.8,78.8,56.6,86.1,32.4,31.2,31.3,89.1,63.4,89.6,60.2,60.1,181.9,35.8,37.3,74.2,72.7,318.0,112.5,105.7,61.0,152.5,172.7,48.0
10.9,19.0,19.8,40.6,68.5,170.3,81.9,84.0,79.8,89.8,38.3,34.0,48.5,131.5,106.8,117.4,101.4,74.1,195.3,89.2,75.2,80.0,103.4,374.2,296.1,202.5,75.3,158.1,233.2,87.2
11.4,19.8,23.5,56.3,72.5,180.2,99.5,88.5,81.3,99.5,63.6,44.2,50.2,182.2,134.5,218.9,119.7,123.8,307.0,146.8,84.7,88.7,126.4,473.5,346.0,589.2,103.2,611.9,453.4,369.1
13.5,20.6,25.4,56.3,108.2,196.6,102.0,147.6,86.0,308.1,159.4,121.9,58.1,256.1,206.9,461.1,255.8,136.4,450.3,172.3,103.5,88.9,309.7,657.1,589.4,677.6,212.6,646.7,646.0,381.4
15.5,22.2,34.7,68.7,119.2,196.6,103.9,152.3,89.4,441.6,190.1,152.5,61.9,285.5,369.4,722.3,268.2,157.7,452.0,194.3,169.7,136.8,362.4,938.9,810.9,1077.9,242.8,1096.8,962.7,403.2
16.1,24.4,42.0,74.2,155.0,292.7,104.8,249.6,96.8,443.6,271.7,247.9,65.2,291.2,404.6,766.4,378.5,480.5,573.3,351.4,446.2,157.6,550.4,1060.6,826.5,1090.0,476.8,1258.2,1078.6,676.5
18.2,26.8,45.5,81.1,187.7,318.4,158.3,254.0,101.8,466.4,394.7,285.0,71.2,336.9,406.3,868.5,586.7,560.1,1036.4,386.2,599.4,191.3,646.8,1136.2,877.0,1268.3,1174.4,1292.9,1238.4,946.0
18.5,30.0,56.3,84.6,191.3,349.5,180.6,305.3,106.5,468.4,446.0,346.0,142.1,433.2,508.5,897.8,883.2,693.1,1069.6,541.0,761.5,600.2,734.8,1302.4,1203.4,1335.4,1268.3,1349.6,1349.6,1094.1
19.8,31.8,58.7,86.4,196.6,391.8,193.0,322.0,151.0,478.2,498.0,515.4,241.6,542.0,869.1,1020.1,1067.8,1081.8,1141.2,796.8,1247.6,817.5,982.4,1312.7,1291.8,1473.8,1320.7,1754.3,1519.1,1130.6
23.9,45.7,63.0,86.4,213.6,402.8,201.1,425.4,268.1,598.1,591.7,714.1,580.8,544.0,883.8,1152.8,1076.6,1329.7,1200.2,937.6,1363.6,901.6,1119.1,1899.2,1402.9,1598.1,1364.4,1948.2,1703.9,1712.4
28.0,49.9,66.7,102.7,263.2,447.2,278.2,518.6,318.6,695.9,660.5,772.5,670.5,728.5,1167.7,1269.7,1108.0,1349.1,1498.0,1294.8,1793.7,1731.4,1215.7,1995.1,1803.0,1820.2,1876.3,2021.1,1821.5,2436.1
37.5,55.4,84.3,108.5,323.8,507.2,344.2,594.4,374.4,696.9,696.9,797.0,829.0,1038.5,1217.5,1376.5,1339.3,1570.4,1530.6,1591.2,2096.6,2006.2,1455.8,2057.1,2286.3,2444.7,1978.9,2567.0,1877.0,2599.6
45.4,56.1,84.9,108.6,346.6,545.3,636.4,668.0,677.5,780.3,725.2,797.0,851.6,1063.7,1228.0,1450.7,1455.3,1702.8,1660.8,1955.8,2171.0,2200.1,2111.3,2266.8,2318.9,2460.3,2460.3,2599.6,2247.4,2785.9
45.7,56.3,86.4,191.3,349.5,636.4,668.0,677.5,780.3,797.0,797.0,829.0,1038.5,1167.7,1269.7,1455.3,1702.8,1955.8,1955.8,2171.0,2266.8,2266.8,2266.8,2444.7,2444.7,2460.3,2567.0,2599.6,2599.6,3726.9
49.9,63.0,102.7,213.6,447.2,668.0,677.5,780.3,797.0,829.0,829.0,851.6,1063.7,1217.5,1376.5,1702.8,1955.8,2171.0,2171.0,2266.8,2444.7,2444.7,2444.7,2460.3,2460.3,2567.0,2599.6,3851.9,3851.9,3851.9
55.4,102.7,108.6,349.5,507.2,677.5,780.3,797.0,829.0,851.6,851.6,1167.7,1167.7,1269.7,1450.7,1955.8,2171.0,2266.8,2266.8,2444.7,2460.3,2460.3,2460.3,2599.6,2599.6,2599.6,2599.6,4118.1,4118.1,4118.1
108.6,108.6,213.6,507.2,636.4,780.3,829.0,829.0,1167.7,1167.7,1167.7,1269.7,1269.7,1376.5,1702.8,2266.8,2266.8,2444.7,2444.7,2460.3,2599.6,2599.6,2599.6,2599.6,2599.6,2599.6,4118.1,4118.1,4118.1,4118.1
